69,New York Life Insurance,65,1866.90 ,71.60,11114,Theodore A. Mathas,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40.7127753,-74.0059728
70,Goldman Sachs Group,78,4286.00 ,-42.10,36600,Lloyd C. Blankfein,Financials,Commercial Banks,New York,NY,40.7127753,-74.0059728
71,American Airlines Group,67,1919.00 ,-28.30,126600,W. Douglas Parker,Transportation,Airlines,Fort Worth,TX,32.7554883,-97.3307658
72,Best Buy,72,1000.00 ,-18.60,125000,Hubert B. Joly,Retailing,Specialty Retailers: Other,Richfield,MN,44.8832982,-93.2830021
73,Cigna,70,2237.00 ,19.80,46000,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,Bloomfield,CT,41.826488,-72.7300945
74,Charter Communications,96,9895.00 ,180.90,94800,Thomas M. Rutledge,Telecommunications,Telecommunications,Stamford,CT,41.0534302,-73.5387341
75,Delta Air Lines,71,3577.00 ,-18.20,86564,Edward H. Bastian,Transportation,Airlines,Atlanta,GA,33.7489954,-84.3879824
76,Facebook,98,15934.00 ,56.00,25105,Mark Zuckerberg,Technology,Internet Services and Retailing,Menlo Park,CA,37.4529598,-122.1817252
77,Honeywell International,73,1655.00 ,-65.60,131000,Darius Adamczyk,Industrials,"Electronics, Electrical Equip.",Morris Plains,NJ,40.8395922,-74.4818698
78,Merck,69,2394.00 ,-38.90,69000,Kenneth C. Frazier,Health Care,Pharmaceuticals,Kenilworth,NJ,40.6764911,-74.2907032
79,Allstate,84,3189.00 ,69.90,42680,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),Northbrook,IL,42.1275267,-87.8289548
80,Tyson Foods,82,1774.00 ,0.30,122000,Thomas P. Hayes,"Food, Beverages &  Tobacco",Food Production,Springdale,AR,36.1867442,-94.1288141
81,United Continental Holdings,83,2131.00 ,-5.80,89800,Oscar Munoz,Transportation,Airlines,Chicago,IL,41.8781136,-87.6297982
82,Oracle,81,9335.00 ,4.90,138000,Safra A. Catz/Mark V. Hurd,Technology,Computer Software,Redwood City,CA,37.4852152,-122.2363548
83,Tech Data,107,116.60 ,-40.20,14000,Richard T. Hume,Wholesalers,Wholesalers: Electronics and Office Equipment,Clearwater,FL,27.9658533,-82.8001026
84,TIAA,80,1049.70 ,-29.70,16829,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40.7127753,-74.0059728
85,TJX,87,2607.90 ,13.50,249000,Ernie L. Herrman,Retailing,Specialty Retailers: Apparel,Framingham,MA,42.279286,-71.4161565
86,American Express,86,2736.00 ,-49.40,55000,Stephen J. Squeri,Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
87,Coca-Cola,64,1248.00 ,-80.90,61800,James R. Quincey,"Food, Beverages &  Tobacco",Beverages,Atlanta,GA,33.7489954,-84.3879824
88,Publix Super Markets,85,2291.90 ,13.10,193000,Randall T. Jones Sr.,Food &  Drug Stores,Food and Drug Stores,Lakeland,FL,28.0394654,-81.9498042
89,Nike,88,4240.00 ,12.80,74400,Mark G. Parker,Apparel,Apparel,Beaverton,OR,45.4887993,-122.8013332
90,Andeavor,117,1528 ,108.20,14300,Gregory J. Goff,Energy,Petroleum Refining,San Antonio,TX,29.4241219,-98.4936282
91,World Fuel Services,103,170.20,-234.50,5000,Michael J. Kasbar,Energy,Energy,Miami,FL,25.7616798,-80.1917902
92,Exelon,89,3770.00 ,232.50,34621,Christopher M. Crane,Energy,Utilities: Gas and Electric,Chicago,IL,41.8781136,-87.6297982
93,Massachusetts Mutual Life Insurance,77,513.00 ,-59.70,11811,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)",Springfield,MA,42.1014831,-72.589811
